"ID","Number of references","Number of references outside selected database","Number of self-cited references","List ID of references","Title","Authors","Source title","Publisher","Year","Link"
"22","35","33","2","1234,32","3D mixed finite elements for curved, flat piezoelectric structures","Meindlhumer M., Pechstein A.","International Journal of Smart and Nano Materials","Taylor and Francis Ltd.","2019","10.1080/19475411.2018.1556186"
"23","42","42","0","","3D printed tubular lattice metamaterials with engineered mechanical performance","Jiang H., Zhang Z., Chen Y.","Applied Physics Letters","American Institute of Physics Inc.","2020","10.1063/5.0014932"
"24","53","53","0","","3D thermomechanical buckling analysis of perforated annular sector plates with multiaxial material heterogeneities based on curved B-spline elements","Shariyat M., Behzad H., Shaterzadeh A.R.","Composite Structures","Elsevier Ltd","2018","10.1016/j.compstruct.2017.12.065"
"25","69","68","1","2725","4-node unsymmetric quadrilateral membrane element with drilling DOFs insensitive to severe mesh-distortion","Shang Y., Ouyang W.","International Journal for Numerical Methods in Engineering","John Wiley and Sons Ltd","2018","10.1002/nme.5711"
"26","38","38","0","","8-node and 12-node plane elements based on assumed stress quasi-conforming method immune to distorted mesh","Wang C., Wang Y., Yang C., Zhang X., Hu P.","Engineering Computations (Swansea, Wales)","Emerald Group Publishing Ltd.","2017","10.1108/EC-11-2016-0404"
"27","49","47","2","2719,26","8-node quasi-conforming plane element by using Bernstein basis functions","Wang C., Lu X., Zhang X., Hu P.","European Journal of Mechanics, A/Solids","Elsevier Ltd","2018","10.1016/j.euromechsol.2018.02.003"
"28","64","58","6","2725,2466,26,1049,468,25","8-node unsymmetric distortion-immune element based on Airy stress solutions for plane orthotropic problems","Shang Y., Cen S., Zhou M.-J.","Acta Mechanica","Springer-Verlag Wien","2018","10.1007/s00707-018-2291-3"
"29","53","53","0","","A 2D Rashba electron gas with large spin splitting in Janus structures of SnPbO2","Zhang C., Sun Z., Lin Y., Guan L., Tao J.","Physical Chemistry Chemical Physics","Royal Society of Chemistry","2020","10.1039/d0cp01574a"
"30","95","95","0","","A 3-D conjugated bond-pair-based peridynamic formulation for initiation and propagation of cracks in brittle solids","Wang Y., Zhou X., Wang Y., Shou Y.","International Journal of Solids and Structures","Elsevier Ltd","2018","10.1016/j.ijsolstr.2017.10.022"
"31","35","35","0","","A 3-node C0 triangular element for the modified couple stress theory based on the smoothed finite element method","Choi J.H., Lee B.C.","International Journal for Numerical Methods in Engineering","John Wiley and Sons Ltd","2018","10.1002/nme.5784"
"32","29","29","0","","A 3-node piezoelectric shell element for linear and geometrically nonlinear dynamic analysis of smart structures","Rama G.","Facta Universitatis, Series: Mechanical Engineering","University of Nis","2017","10.22190/FUME170225002R"
"33","55","53","2","2017,636","A 3D meshfree crack propagation algorithm for the dynamic fracture in arbitrary curved shell","Peng Y.-X., Zhang A.-M., Ming F.-R.","Computer Methods in Applied Mechanics and Engineering","Elsevier B.V.","2020","10.1016/j.cma.2020.113139"
"34","19","19","0","","A 3D triangular prism spline element using B-net method","Chen J., Li C.-J.","European Journal of Mechanics, A/Solids","Elsevier Ltd","2019","10.1016/j.euromechsol.2019.02.014"
"35","46","39","4","4006,3303,1590,156,155,38,2980","A 3D-CFD study of a Γ-type Stirling engine","Kuban L., Stempka J., Tyliszczak A.","Energy","Elsevier Ltd","2019","10.1016/j.energy.2018.12.009"
"36","39","39","0","","A C0 three-node triangular element based on preprocessing approach for thick sandwich plates","Zhen W., Rui M., Wanji C.","Journal of Sandwich Structures and Materials","SAGE Publications Ltd","2019","10.1177/1099636217729731"
"37","61","61","0","","A C1 Virtual Element Method on polyhedral meshes","Beirão da Veiga L., Dassi F., Russo A.","Computers and Mathematics with Applications","Elsevier Ltd","2020","10.1016/j.camwa.2019.06.019"
"38","14","10","2","3051,156,426,155","A CFD parametric study on the performance of a low-temperature-differential γ-type Stirling engine","Chen W.-L., Yang Y.-C., Salazar J.L.","Energy Conversion and Management","Elsevier Ltd","2015","10.1016/j.enconman.2015.10.007"
"39","29","28","1","2466","A Cell-based MITC3+ Flat Shell Element for Frequency Analyses of Plates and Shells Using Substructuring Methods","Chau-Dinh T., Vo-Ngoc H., Kim J.-G.","Proceedings 2018 4th International Conference on Green Technology and Sustainable Development, GTSD 2018","Institute of Electrical and Electronics Engineers Inc.","2018","10.1109/GTSD.2018.8595536"
"40","37","37","0","","A Central Point-Based Discrete Shear Gap Method for Plates and Shells Analysis Using Triangular Elements","Cui X.Y., Tian L.","International Journal of Applied Mechanics","World Scientific Publishing Co. Pte Ltd","2017","10.1142/S1758825117500557"
"41","41","40","1","1183","A Chelyshkov polynomial based algorithm to analyze the transport dynamics and anomalous diffusion in fractional model","Hamid M., Usman M., Haq R.U., Wang W.","Physica A: Statistical Mechanics and its Applications","Elsevier B.V.","2020","10.1016/j.physa.2020.124227"
"42","35","35","0","","A Combination of Singular Cell-Based Smoothed Radial Point Interpolation Method and FEM in Solving Fracture Problem","Zhang G., Wang Y., Jiang Y., Zong Z.","International Journal of Computational Methods","World Scientific Publishing Co. Pte Ltd","2018","10.1142/S0219876218500792"
"43","75","74","1","836","A Comparative Study of Recent Non-traditional Methods for Mechanical Design Optimization","Yildiz A.R., Abderazek H., Mirjalili S.","Archives of Computational Methods in Engineering","Springer","2020","10.1007/s11831-019-09343-x"
"44","40","40","0","","A Comparison of Extremal Optimization, Differential Evolution and Particle Swarm Optimization Methods for Well Placement Design in Groundwater Management","Redoloza F., Li L.","Mathematical Geosciences","Springer","2020","10.1007/s11004-020-09864-3"
"45","34","34","0","","A Comparison of Fourier Spectral Iterative Perturbation Method and Finite Element Method in Solving Phase-Field Equilibrium Equations","Song P., Yang T., Ji Y., Wang Z., Yang Z., Chen L., Chen L.","Communications in Computational Physics","Cambridge University Press","2017","10.4208/cicp.OA-2016-0114"
"46","23","23","0","","A Computational Framework for Design and Optimization of Flexoelectric Materials","Ghasemi H., Park H.S., Alajlan N., Rabczuk T.","International Journal of Computational Methods","World Scientific Publishing Co. Pte Ltd","2020","10.1142/S0219876218500974"
"47","41","40","1","637","A Computational Intelligence System Identifying Cyber-Attacks on Smart Energy Grids","Demertzis K., Iliadis L.","Springer Optimization and Its Applications","Springer International Publishing","2018","10.1007/978-3-319-74325-7_5"
"48","30","30","0","","A Computational Model for Prestressed Concrete Hollow-Core Slab Under Natural Fire","Pečenko R., Hozjan T., Planinc I., Bratina S.","International Journal of Concrete Structures and Materials","Springer","2019","10.1186/s40069-019-0373-9"
"49","34","34","0","","A Concept of Cell-Based Smoothed Finite Element Method Using 10-Node Tetrahedral Elements (CS-FEM-T10) for Large Deformation Problems of Nearly Incompressible Solids","Onishi Y.","International Journal of Computational Methods","World Scientific Publishing Co. Pte Ltd","2020","10.1142/S0219876218450093"
"50","55","54","1","4406","A Copula-based perturbation stochastic method for fiber-reinforced composite structures with correlations","Cui X.Y., Hu X.B., Zeng Y.","Computer Methods in Applied Mechanics and Engineering","Elsevier B.V.","2017","10.1016/j.cma.2017.05.001"
"51","23","23","0","","A Coupled Smoothed Finite Element-Boundary Element Method for Structural-Acoustic Analysis of Shell","Tian W., Yao L., Li L.","Archives of Acoustics","De Gruyter Open Ltd","2017","10.1515/aoa-2017-0006"
"52","58","45","13","706,169,292,1350,4419,122,4406,761,596,4155,2213,461,4139","A Coupling Electromechanical Cell-Based Smoothed Finite Element Method Based on Micromechanics for Dynamic Characteristics of Piezoelectric Composite Materials","Zheng J., Duan Z., Zhou L.","Advances in Materials Science and Engineering","Hindawi Limited","2019","10.1155/2019/4913784"
"53","67","57","10","169,2744,4406,582,766,4834,4155,761,596,849","A Coupling Electromechanical Inhomogeneous Cell-Based Smoothed Finite Element Method for Dynamic Analysis of Functionally Graded Piezoelectric Beams","Cai B., Zhou L.","Advances in Materials Science and Engineering","Hindawi Limited","2019","10.1155/2019/2812748"
"54","46","46","0","","A DFT study of the enhanced hydrogen storage performance of the Li-decorated graphene nanoribbons","Zheng N., Yang S., Xu H., Lan Z., Wang Z., Gu H.","Vacuum","Elsevier Ltd","2020","10.1016/j.vacuum.2019.109011"
"55","63","63","0","","A DFT study on a borophene/boron nitride interface for its application as an electrode","Isa Khan M., Majid A., Ashraf N., Ullah I.","Physical Chemistry Chemical Physics","Royal Society of Chemistry","2020","10.1039/c9cp06626h"
"56","40","33","7","1382,1736,4203,782,1389,282,1381","A FE model updating technique based on SAP2000-OAPI and enhanced SOS algorithm for damage assessment of full-scale structures","Dinh-Cong D., Nguyen-Thoi T., Nguyen D.T.","Applied Soft Computing Journal","Elsevier Ltd","2020","10.1016/j.asoc.2020.106100"
"57","22","21","1","1551","A Fast Clustering Method for Identifying Rock Discontinuity Sets","Gao F., Chen D., Zhou K., Niu W., Liu H.","KSCE Journal of Civil Engineering","Springer Verlag","2019","10.1007/s12205-018-1244-7"
"58","94","94","0","","A First-Principles Study of C3N Nanostructures: Control and Engineering of the Electronic and Magnetic Properties of Nanosheets, Tubes and Ribbons","Bafekry A., Stampfl C., Farjami Shayesteh S.","ChemPhysChem","Wiley-VCH Verlag","2020","10.1002/cphc.201900852"
"59","30","30","0","","A Fluid-Structure Interaction Model for Dam-Water Systems: Analytical Study and Application to Seismic Behavior","Faria R., Oliveira S., Silvestre A.L.","Advances in Mathematical Physics","Hindawi Limited","2019","10.1155/2019/8083906"
"60","50","50","0","","A Fully Automatic h -Adaptive Analysis Procedure Using the Edge-Based Smoothed Point Interpolation Method","Tang Q., Wei K., Zhang G., Sun X.","International Journal of Computational Methods","World Scientific Publishing Co. Pte Ltd","2020","10.1142/S0219876218450019"
"61","85","84","1","2465","A GN-based modified model for size-dependent coupled thermoelasticity analysis in nano scale, considering nonlocality in heat conduction and elasticity: An analytical solution for a nano beam with energy dissipation","Hosseini S.M.","Structural Engineering and Mechanics","Techno Press","2020","10.12989/sem.2020.73.3.287"
"62","38","35","3","548,617,554","A Gradient Weighted Finite Element Method (GW-FEM) for Static and Quasi-Static Electromagnetic Field Computation","Tang B., Li S., Cui X.","International Journal of Computational Methods","World Scientific Publishing Co. Pte Ltd","2020","10.1142/S0219876219500178"
"63","69","69","0","","A Hybrid Computational Method of Desirability, Fuzzy Logic, ANFIS, and LAPO Algorithm for Multiobjective Optimization Design of Scott Russell Compliant Mechanism","Tran N.T., Le Chau N., Dao T.-P.","Mathematical Problems in Engineering","Hindawi Limited","2020","10.1155/2020/3418904"
"64","46","46","0","","A Hybrid-coded Human Learning Optimization for mixed-variable optimization problems","Wang L., Pei J., Menhas M.I., Pi J., Fei M., Pardalos P.M.","Knowledge-Based Systems","Elsevier B.V.","2017","10.1016/j.knosys.2017.04.015"
"65","37","37","0","","A Jacobi-Ritz approach for FGP beams with arbitrary boundary conditions based on a higher-order shear deformation theory","Qin B., Zhong R., Wang Q., Zhao X.","Composite Structures","Elsevier Ltd","2020","10.1016/j.compstruct.2020.112435"
"66","16","16","0","","A Kirchhoff plate formulation in a state-based peridynamic framework","Yang Z., Vazic B., Diyaroglu C., Oterkus E., Oterkus S.","Mathematics and Mechanics of Solids","SAGE Publications Inc.","2020","10.1177/1081286519887523"
"67","49","47","2","1493,4049","A Lagrangian nodal integration method for free-surface fluid flows","Franci A., Cremonesi M., Perego U., Oñate E.","Computer Methods in Applied Mechanics and Engineering","Elsevier B.V.","2020","10.1016/j.cma.2019.112816"
"68","43","42","1","2031","A Locking-Free Face-Based S-FEM via Averaging Nodal Pressure using 4-Nodes Tetrahedrons for 3D Explicit Dynamics and Quasi-statics","Jiang C., Han X., Zhang Z.-Q., Liu G.R., Gao G.-J.","International Journal of Computational Methods","World Scientific Publishing Co. Pte Ltd","2018","10.1142/S0219876218500433"
"69","49","46","3","2725,445,3686","A MINI element over star convex polytopes","Francis A., Ortiz-Bernardin A., Bordas S.P., Natarajan S.","Finite Elements in Analysis and Design","Elsevier B.V.","2020","10.1016/j.finel.2019.103368"
"70","18","18","0","","A Mobile Cloud-Based eHealth Scheme","Liu Y., Abbasi A.A., Aghaei A., Abbasi A., Mosavi A., Shamshirband S., Al-Qaness M.A.A.","Computers, Materials and Continua","Tech Science Press","2020","10.32604/cmc.2020.07708"
"71","76","73","3","1342,548,3150","A Moving Kriging Interpolation Meshfree Method Based on Naturally Stabilized Nodal Integration Scheme for Plate Analysis","Thai C.H., Nguyen-Xuan H.","International Journal of Computational Methods","World Scientific Publishing Co. Pte Ltd","2019","10.1142/S0219876218501001"
"72","60","59","1","2670","A NURBS-based Multi-Material Interpolation (N-MMI) for isogeometric topology optimization of structures","Gao J., Luo Z., Xiao M., Gao L., Li P.","Applied Mathematical Modelling","Elsevier Inc.","2020","10.1016/j.apm.2020.01.006"
"73","64","64","0","","A NURBS-based isogeometric boundary element method for analysis of liquid sloshing in axisymmetric tanks with various porous baffles","Zang Q., Liu J., Lu L., Lin G.","European Journal of Mechanics, B/Fluids","Elsevier Ltd","2020","10.1016/j.euromechflu.2020.01.010"
"74","28","28","0","","A Neural Element Method","Liu G.R.","International Journal of Computational Methods","World Scientific Publishing Co. Pte Ltd","2020","10.1142/S0219876220500218"
"75","36","34","2","212,2213","A New Binary Adaptive Elitist Differential Evolution Based Automatic k -Medoids Clustering for Probability Density Functions","Pham-Toan D., Vo-Van T., Pham-Chau A.T., Nguyen-Trang T., Ho-Kieu D.","Mathematical Problems in Engineering","Hindawi Limited","2019","10.1155/2019/6380568"
"76","28","28","0","","A New Clustering Algorithm and Its Application in Assessing the Quality of Underground Water","Vo-Van T., Nguyen-Hai A., Tat-Hong M.V., Nguyen-Trang T., Gomariz F.","Scientific Programming","Hindawi Limited","2020","10.1155/2020/6458576"
"77","64","63","1","817","A New Crack Propagation Algorithm Combined with the Finite Element Method","Ramalho L.D.C., Belinha J., Campilho R.D.S.G.","Journal of Mechanics","Cambridge University Press","2020","10.1017/jmech.2020.1"
"78","47","47","0","","A New Interval Multi-Objective Optimization Method for Uncertain Problems with Dependent Interval Variables","Liu G., Luo R., Liu S.","International Journal of Computational Methods","World Scientific Publishing Co. Pte Ltd","2020","10.1142/S0219876220500073"
"79","45","44","1","3276","A New Numerical Method for Time Fractional Non-linear Sharma-Tasso-Oliver Equation and Klein-Gordon Equation With Exponential Kernel Law","Kumar S., Baleanu D.","Frontiers in Physics","Frontiers Media S.A.","2020","10.3389/fphy.2020.00136"
"80","32","31","1","1504","A New TVD Scheme for Gradient Smoothing Method Using Unstructured Grids","Zhang G., Hui D., Li D., Zou L., Jiang S., Zong Z.","International Journal of Computational Methods","World Scientific Publishing Co. Pte Ltd","2020","10.1142/S0219876218501323"
"81","37","37","0","","A New Two-Phase Method for Damage Detection in Skeletal Structures","Kaveh A., Hosseini Vaez S.R., Hosseini P., Fathali M.A.","Iranian Journal of Science and Technology - Transactions of Civil Engineering","Springer International Publishing","2019","10.1007/s40996-018-0190-4"
"82","39","39","0","","A Nitsche-type variational formulation for the shape deformation of a single component vesicle","Kim T.-Y., Jiang W., Lee S., Song J.-H., Yeun C.Y., Park E.-J.","Computer Methods in Applied Mechanics and Engineering","Elsevier B.V.","2020","10.1016/j.cma.2019.112661"
"83","19","19","0","","A Novel Adaptive Active Disturbance Rejection Control Strategy to Improve the Stability and Robustness for a Wind Turbine Using a Doubly Fed Induction Generator","Laghridat H., Essadki A., Annoukoubi M., Nasser T.","Journal of Electrical and Computer Engineering","Hindawi Limited","2020","10.1155/2020/9847628"
"84","37","37","0","","A Novel Alpha Smoothed Finite Element Method for Ultra-Accurate Solution Using Quadrilateral Elements","Li Y.H., Li M., Liu G.R.","International Journal of Computational Methods","World Scientific Publishing Co. Pte Ltd","2020","10.1142/S0219876218450081"
"85","89","87","2","3708,2534","A Novel Combination of Tree-Based Modeling and Monte Carlo Simulation for Assessing Risk Levels of Flyrock Induced by Mine Blasting","Ye J., Koopialipoor M., Zhou J., Armaghani D.J., He X.","Natural Resources Research","Springer","2020","10.1007/s11053-020-09730-3"
"86","65","63","2","387,3708","A Novel Combination of Whale Optimization Algorithm and Support Vector Machine with Different Kernel Functions for Prediction of Blasting-Induced Fly-Rock in Quarry Mines","Nguyen H., Bui X.-N., Choi Y., Lee C.W., Armaghani D.J.","Natural Resources Research","Springer","2020","10.1007/s11053-020-09710-7"
"87","27","27","0","","A Novel Fatigue Crack Monitoring Method Based on Nonlinear Dynamic Characteristics of Strain","Yang D., Li D., Kuang K.S.C.","International Journal of Structural Stability and Dynamics","World Scientific Publishing Co. Pte Ltd","2020","10.1142/S0219455420500169"
"88","47","46","1","3058","A Novel Hybrid Algorithm for Solving Multiobjective Optimization Problems with Engineering Applications","Fan L., Yoshino T., Xu T., Lin Y., Liu H.","Mathematical Problems in Engineering","Hindawi Limited","2018","10.1155/2018/5316379"
"89","112","111","1","3708","A Novel Intelligent ELM-BBO Technique for Predicting Distance of Mine Blasting-Induced Flyrock","Murlidhar B.R., Kumar D., Jahed Armaghani D., Mohamad E.T., Roy B., Pham B.T.","Natural Resources Research","Springer","2020","10.1007/s11053-020-09676-6"
"90","156","156","0","","A Novel Pick-Out Theory and Technique for Constructing the Smoothed Derivatives of Functions for Numerical Methods","Liu G.R.","International Journal of Computational Methods","World Scientific Publishing Co. Pte Ltd","2018","10.1142/S0219876218500706"
"91","46","43","3","582,706,4406","A Novel Triangular Prism Element Based on Smoothed Finite Element Method","Pei Y., Cui X.","International Journal of Computational Methods","World Scientific Publishing Co. Pte Ltd","2018","10.1142/S0219876218500585"
"92","20","20","0","","A Peridynamic Model for Analyzing Fracture Behavior of Functionally Graded Materials Used as an Interlayer","Cheng Z., Fu Z., Zhang Y., Wu H.","Acta Mechanica Solida Sinica","Springer","2020","10.1007/s10338-020-00173-0"
"93","65","64","1","848","A Petrov–Galerkin finite element-meshfree formulation for multi-dimensional fractional diffusion equations","Lin Z., Wang D., Qi D., Deng L.","Computational Mechanics","Springer","2020","10.1007/s00466-020-01853-x"
"94","35","35","0","","A Posteriori Error Estimates for the Virtual Element Method for the Stokes Problem","Wang G., Wang Y., He Y.","Journal of Scientific Computing","Springer","2020","10.1007/s10915-020-01281-2"
"95","46","45","1","4708","A Progress on the Development of Mathematical Model on Two-Phase Flow over a Vertical Stretching Sheet","Aljabali A., Mohd Kasim A.R., Hussein A.M.","Journal of Physics: Conference Series","Institute of Physics Publishing","2019","10.1088/1742-6596/1366/1/012045"
"96","34","34","0","","A RBFNN & GACMOO-based working state optimization control study on heavy-duty diesel engine working in plateau environment","Dong Y., Liu J., Liu Y., Qiao X., Zhang X., Jin Y., Zhang S., Wang T., Kang Q.","Energies","MDPI AG","2020","10.3390/en13010279"
"97","41","41","0","","A Report On Fluctuating Free Convection Flow Of Heat Absorbing Viscoelastic Dusty Fluid Past In A Horizontal Channel With MHD Effect","Ali F., Bilal M., Gohar M., Khan I., Sheikh N.A., Nisar K.S.","Scientific Reports","Nature Research","2020","10.1038/s41598-020-65252-1"
"98","89","89","0","","A Review of Vibration Based Inverse Methods for Damage Detection and Identification in Mechanical Structures Using Optimization Algorithms and ANN","Gomes G.F., Mendez Y.A.D., da Silva Lopes Alexandrino P., da Cunha S.S., Jr., Ancelotti A.C., Jr.","Archives of Computational Methods in Engineering","Springer Netherlands","2019","10.1007/s11831-018-9273-4"
"99","169","169","0","","A Review on Dielectric Breakdown in Thin Dielectrics: Silicon Dioxide, High-k, and Layered Dielectrics","Palumbo F., Wen C., Lombardo S., Pazos S., Aguirre F., Eizenberg M., Hui F., Lanza M.","Advanced Functional Materials","Wiley-VCH Verlag","2020","10.1002/adfm.201900657"
"100","217","217","0","","A Review on Graphene Derivatives-Based Nanofluids: Investigation on Properties and Heat Transfer Characteristics","Barai D.P., Bhanvase B.A., Sonawane S.H.","Industrial and Engineering Chemistry Research","American Chemical Society","2020","10.1021/acs.iecr.0c00865"
"101","116","115","1","1871","A Simple Time-Dependent Chart of Extension Fracture Initiation within Brittle Homogenous and Heterogeneous Rock Pillars in Hard Rock Mining","Sengani F.","Geotechnical and Geological Engineering","Springer","2020","10.1007/s10706-020-01188-7"
"102","74","74","0","","A Smoothed Finite Element-Based Elasticity Model for Soft Bodies","Zhang J., Zhou M., Huang Y., Ren P., Wu Z., Wang X., Zhao S.F.","Mathematical Problems in Engineering","Hindawi Limited","2017","10.1155/2017/1467356"
"103","45","43","2","2496,3982","A Spline Finite Point Method for Nonlinear Bending Analysis of FG Plates in Thermal Environments Based on a Locking-free Thin/Thick Plate Theory","Mo T.-J., Huang J., Li S.-B., Wu H.","Mathematical Problems in Engineering","Hindawi Limited","2020","10.1155/2020/2943705"
"104","24","22","2","4545,2925","A Stirling engine for use with lower quality fuels","Paul C.J., Engeda A.","Energy","Elsevier Ltd","2015","10.1016/j.energy.2015.02.109"
"105","35","35","0","","A Structural Equation Modeling-Based Strategy for Design Optimization of Multilayer Composite Structural Systems","Yang J., Xu H., Zhan Z., Chuang C.-H.","Journal of Mechanical Design, Transactions of the ASME","American Society of Mechanical Engineers (ASME)","2018","10.1115/1.4040984"
"106","63","62","1","1823","A Systematic and Meta-Analysis Survey of Whale Optimization Algorithm","Mohammed H.M., Umar S.U., Rashid T.A.","Computational Intelligence and Neuroscience","Hindawi Limited","2019","10.1155/2019/8718571"
"107","57","57","0","","A Three-Dimensional Comparative Study of the Isoparametric Graded Boundary and Finite Element Methods for Nonhomogeneous FGM Plates with Eccentric Cutouts","Ashrafi H., Shariyat M.","International Journal of Computational Methods","World Scientific Publishing Co. Pte Ltd","2017","10.1142/S0219876217500062"
"108","41","40","1","505","A Three-Node Triangular Element with Continuous Nodal Stress (Trig3-CNS) for Geometry Nonlinear Solid Mechanics Problems","Sun G., Yang Y., Zheng H.","International Journal of Computational Methods","World Scientific Publishing Co. Pte Ltd","2018","10.1142/S0219876218500226"
"109","44","42","2","3212,484","A Three-Variable Geometrically Nonlinear New First-Order Shear Deformation Theory for Isotropic Plates: Formulation and Buckling Analysis","Shimpi R.P., Guruprasad P.J., Pakhare K.S.","Iranian Journal of Science and Technology - Transactions of Civil Engineering","Springer","2020","10.1007/s40996-020-00384-y"
"110","66","66","0","","A Total-Lagrangian Material Point Method for solid mechanics problems involving large deformations","de Vaucorbeil A., Nguyen V.P., Hutchinson C.R.","Computer Methods in Applied Mechanics and Engineering","Elsevier B.V.","2020","10.1016/j.cma.2019.112783"
"111","62","53","9","2177,865,4031,3249,2636,865,4031,3249,2636","A Type of Novel Nonlinear Distributions for Improving Significantly the Stiffness of Carbon Nanotube-Reinforced Composite Beams","Vo-Duy T., Truong T.T., Nguyen-Quang K., Nguyen-Thoi T., Vu-Do H.C.","International Journal of Computational Methods","World Scientific Publishing Co. Pte Ltd","2019","10.1142/S0219876219500579"
