Abbruchabfall	m	P_L1ỆU	demolition Waste, rubble	chất thải phá nổ, đất đá vun
Abbruchabfall	m	XD	demolition Waste	đất đá thải do phá huỷ
Abbruchfehler	m	M_TÍNH	truncation error	lỗi cắt cụt
Abbruchhöhe	f	VTH K	critical altitude	độ cao tới hạn
Abbruchmaterial	nt	P_LIỆU	demolition Waste, rubble	chất thải phá nổ, đất đá vụn
Abbruchmaterial	nt	XD	demolition Waste	đất đá thải do
Abbruchzustand	m	Đ_KHIỂN	truncation condition	điều kiện cắt cụt
abbrühen	vt	NH_ĐỘN(Ỉ	scald	nấu, đun sôi, hấp
ABC	v_tắt (automatische Helligkeitsregelung)	TV ABC		(automatic brightness control) (sự) điều chính độ chói tự động
ABC-Hubschrauber	m	VTHK ABC	helicop- ter, advanced blade concept helicopter	trực thăng ABC, trực thăng lá cánh quạt hướng về phía trước
Abdachen	nt	CNSX	pointing	sư gia công
abdachen	vt	CNSX	point	gia công côn
abdämmen	vt	KTC_NƯỚC	block off	chặn
Abdichtungsmittel	nt	XD	sealant	chất bít kín, chất trám kín
Abdrehen	nt	CNSX	dressing, truing	sự chinh, sự nắn sửa (đá mài)
abdrehen	vt	CNSX	dress	nắn sủa, chinh đúng (vật mài)
abdrehen	vt	CNSX	true	chỉnh đúng (đá mài)
abdrehen	vt	KTC_NƯỚC	turn off	khoá, tắt, đóng (vòi
Abdrehvorrichtung	f	CT_MÁY	truing attachment, turning attachment	đồ gá sửa, đồ gá hiệu chuẩn
Abdriftwinkel	m	VTHK	drift angle	góc dạt
Abdriftwinkel	m	VT_THUỶ	leeway angle	góc dạt
Abdruck	ra	IN	Impression	bản ỉn
Abdruck	ra	CNSX	mold (Mỹ), mould (Anh)	khuôn, khuôn đúc
abdruckbares Zeichen	nt	IN	printing character	kỷ tư in ra được
Abdrücksignal	nt	Đ_SẮT	backing Signal	tín hiệu lùi
Abfackeln	nt	D_KHÍ	flaring	đuốc dầu khí, sự cháy khí đốt (do đốt bỏ)
abfackeln	vt	NH_ĐỘNG	burn off	dốt cháy, làm bùng cháy
Abfallagerung	f	P_LIỆU	Waste storage	nơi chứa chất thải, kho phế liệu
Abfallaufbereitung	f	P_LIỆU, ÔNMT	Waste	
Abfallausgrabung	f	KTH_NHÂN	disintern- ment of Waste	sự khai quật chất thải
Abfallbehandlung	f	P_LIỆU	Waste Processing, Waste treatment	sự xử lý chất thải
Abfalldeponie	f	KTC_NƯỚC	refuse dump	bãi chất thải, bãi phê thải
Abfallen	nt	KT_ĐIỆN	drop-out	sự sụt áp
Abfallen	nt	TV	decay	sự rã hình
abfallen	vi	XD	sink	chìm, lún
abfallen	vi	XD	slope	dốc nghiêng (địa hình)
abfallen	vi	M_TÍNH	decay	phân rã
abfallen	vi	VT_THUỶ	bear away	cuốn đi
abfallen	vi	VT_THUỶ	fall off	không
abfallende Flanke	f	Đ_TỬ	trailing edge	sườn sau (của các xung) mg and dosing machine máy đóng gói và đinh liêu lương
Abfüll- und Siegelmaschine	f	B_BÌ	filling and sealing machine	máy nạp dầy và bít kín
Abfüll- und Versiegelungseinheit für Beutel	f	B_BÌ	sachet form fill Seal unit	thiết bị nạp đầy và bít kín dạng túi
Abfüllung in Kartons	f	B_BÌ	bag-in-a-box packaging	sự dóng bao đinh lương vào hộp cactông
Abfüllvorrichtung	f	CNT_PHẨM	dispenser cơ	cấu đong,' máy tư đông rót, ông đinh lượng
Abgabeseite	f	CT_MÁY	discharge side	phía dỡ tải
Abgang	m	ÔTÔ, V_THÔNG, V_TẢ1	originat- ing, outgoing, output	sư khởi hành, sự xuất phát, sư ra đi
Abgangsverkehr	m	V_THÔNG	originating traffic, outgoing traffic	lưu lượng (gửi) đi
Abgangsverkehr	m	VTAI	originating traffic	lưu lương vân tải khởi đầu
Abgangswelle	f	ỒTÔ	output shaft	truc ra
Abgas	nt	CNSX	Waste gas	khí thải
Abgasanlage	f	ÔTÔ	exhaust System	hê thông xả khí
abgasarmes Gemisch	nt	ÔTÔ	lean mixture	hỗn hợp nghèo
Abgasdüsen verschlußstücke	nt pl	VTHK	exhaust nozzle breeches	các phần đuôi miệng xả
Abgasentschwefelung	f	P_LIỆU	Waste gas desulfurization (Mỹ), Waste gas desulphuriza- tion (Anh)	sự khử lưu huỳnh ở khí thải
Abgasgehäuse	nt	VTHK	exhaust case	vỏ khí xả
Abgaskatalysator	m	ÔTÔ	catalytic Converter (Anh), catalytic muffler (Mỹ), catalytic silencer (Anh)	bộ chuyên đổi xúc tác, bộ tiêu ảm xúc tác, bộ giảm ảm xúc tác
Abgaskondensator	m	KTH_NHÂN	off-gas condenser	bô ngưng tụ khí thải
Abgaskonus	m	VTHK	exhaust cone	phần vỏ côn của ông xả
Abgasleitung	f	CNSX	exhaust duct	ông xả đông cơ
Abgasleitung	f	ÔTÔ, VTHK	exhaust pipe	ống xả
Cơ exhaust conduit, exhaust pipe	ống dẫn xả, ông xả	NH_ĐỘNG, VT_THUỶ	exhaust pipe	ông khi xả, ông khí thải
Abgasmeßgerät	nt	T_BỊ	Waste gas meter	máy đo khí thải
Abgasreinigung	f	P_L1ỆU	Waste gas clean- ing	sự làm sạch khí thải
Abgasreinigung	f	NH_ĐỘNG	exhaust gas cleaning	sự làm sạch khí xả
Abgasreinigungsanlage	f	KTA_TOÀN	flue gas cleaning Installation	thiết bị làm sạch khí thải
abgehend	adj	V_THÔNG	outgoing	đi, hướng ra, ra ngoài
abgehende Leitung	f	V_THỐNG	outgoing Circuit, outgoing line	mạch di ra, đường ra ngoài
abgehender Anruf	m	V_THÖNG	outgoing call	cuộc goi di
abgehender Verkehr	m	V_THÖNG	outgo- ing traffic	lưu lượng đi
abgehendes Bündel	nt	V_THÖNG	outgoing group	chùm tia đi
abgehende Verbindung	/■	V_THÔNG	outgo- ing call	cuộc gọi đi
abgehoben	adj	V_THÔNG	off hook, off the hook	ịthuộc ) nhấc máy, cầm máy
abgelagertes Holz	nt	VT_THUỶ	seasoned timber, seasoned wood	gỗ đã xử lý, gỗ đã ngâm tẩm (vật liệu đóng tàu)
abgelagertes Holz	nt	VT_THUỶ	abgelaufene Zeit	f
abgelagertes Holz	nt	M_TÍNH	elapsed time	thời gian trôi qua, thời gian chạy
abgelegter Satz	m	IN	dead matter, dead type	bộ chữ in lỗi thời, kiêu chữ lỗi thời
abgeleiteter Strom	m	ĐIỆN	derived current	dòng điện rẽ, dòng điên nhánh
abgeleitete Schaltung	f	ĐIỆN	derived Cir cuit	mach rẽ, mạch nhánh
abgelenktes Bohren	nt	D_KHÍ	deviated drilling	sự khoan lệch (kỹ thuật khoan)
abgelesener Meßwert	m	T_BỊ	reading	sô' đọc, số chỉ
abgelesener Wert	m	T_BỊ	reading	số đọc
abgenommen	adj	V_THÔNG	off hook, off the hook (được)	nhấc máy, cầm máy, nối nhanh
abgenutztes Werkzeug	nt	KTA_TOÀN	worn tool	công cu bi mòn (nguyên nhăn gây sự cô)
abgeplattet	adj	HÌNH	oblate	dẹt
abgeplattet	adj	HÌNH	abgeplatteter Kern	m
abgeplattet	adj	KTH_NHÂN	oblate nucleus	hạt nhân dẹt
abgeplattetes Sphäroid	nt	HÌNH	Oblate spheroid	hình phỏng cầu dẹt
abgeplatzte Ecke	f	SỨ_TT	chipped Corner	góc chẻ
abgeplatzte Kante	f	SỨ_TT	chipped edge	mép chẻ
abgerundete Kante	f	SỨ_TT	rounded edge	mép vê tròn
abgeschaltet	adj	KT_ĐIỆN	off	bị ngắt
abgeschaltet	adj	V_THÔNG	disabled	bi mất tác dung, bị vô hiều hoá (máy móc)
abgeschalteter Thyristor	m	Đ_TỬ	off	
abgeschalteter Transistor	m	Đ_TỬ	off	
abgeschert	ad]	CNSX	sheared	bị cắt
abgeschirmte Antenne	f	TV	screened aeri- al	anten
abgeschirmte Antenne	f	TV	có	chan
abgeschirmter Draht	m	KT_ĐIỆN	shielded wire	dãy bọc
abgestuft	adj	XD	stepped	có bậc
abgestuft	adj	XD	screened (có)	lọt sàng (độ hạt)
abgestufter Steigflug	m	VTHK	stepped climb	sự bay lên cao dần
abgestufte Toleranz	f	CH_LƯỢNG	stepped tolerance	mức chấp nhận tăng dần
abgestumpfte Pyramide	f	HÌNH	truncat- ed pyramid	hình chóp cut
abgestumpfte Pyramide	f	HÌNH	abgetastetes Signal	nt
abgestumpfte Pyramide	f	V_THÔNG	sampled Signal	tín hiệu đươc lấy mẫu
abgetragen	adj	KT_DỆT	worn out (đã)	mòn, (đã) hư hỏng
abgetreppt	adj	XD	benched, stepped	có bậc, có thêm
Abgießen	nt	CN_HOÁ, CNT_PHẨM	decanta- tion	sư gạn, sự chắt, sự lắng gạn
abgießen	vt	HOÁ	decant	lắng gạn, chắt
Abgleich	m	TV	alignment	sự đồng chỉnh
Abgleicharbeiten	f pl	CH_LƯỢNG	adjust- ing operations (các)	công đoạn điều chinh
Abgleichband	nt	TV	alignment tape	băng đồng chinh
Abgleichbesteck	nt	T_BỊ	alignment tool set, trimming kít	bô công cu đồng chinh, bộ công cụ tinh chính
Abgleichelement	nt	T_BỊ	adjusting ele- ment, trimming element	phần tư điêu chính, phần tử tinh chinh
Abgleichen	nt	VT&RĐ	alignment	sự đồng chỉnh
Abgleichen	nt	V_THÔNG	balancingsự	làm (cho) cản bằng
abgleichen	vt	XD	trim	tinh chinh
abgleichen	vt	XD	level	xoa phang (tường)
abgleichen	vt	CNSX	parfolicalize	điêu chỉnh
abgleichen	vt	CNSX	Cơ trim	tinh chính, vi chinh
Abgleichfehler	m	V_THÔNG	alignment fault	sự sai sót đồng chình
Abgleichfrequenz	f	Đ_TỬ	tie-down point	điểm liên kết xuống (ở máy thu đoi tần)
Abgleichmechanismus	m	T_BỊ	balancing mechanism	cơ cấu càn bằng
Abgleichpunkt	m	T_BỊ	balance point	điểm cân bằng (cầu đo)
Abgleichverstärker	m	Đ_TỬ	leveling amplifier (Mỹ), levelling amplifier (Anh)	bộ khuếch đại san bằng
Abgleichwiderstand	m	ĐIỆN	balancing resistor	cái điện trở cản băng
Abgleichwiderstand	m	KT_ĐIỆN	adjustable resistor	cái điện trở điêu chính được
Abgleichwiderstand	m	T_BỊ	trimming resistor	cái điện trở tinh chính
Abgleichwiderstand	m	T_BỊ	balancing resistor	cái điện trở cân bằng (linh kiện mạch điện)
Abgleisen	nt	Đ_SẮT	derailing	sự làm trật bánh xe
Abgleitung	f	KT_ĐIỆN	slip	sự trượt
abgraten	vt	XD	chip	bào, chẻ, đẽo
abgraten	vt	CNSX	clip, snag	kep, xiết, xén, cắt (rìa)
Abgratfehler	m	CNSX	mistrimming	sự tinh chinh sai
Abgratpresse	f	CNSX	Stripping press	máy dập ép ra
Abgratpresse	f	CT_MÁY	trimming machine	máy bạt bavia, máy sửa rìa xờm
Abgreifen	nt	CT_MÁY	calipering (Mỹ), cal- lipering (Anh)	sự đo bang compa, sự đo bằng thước cáp
abgreifen	vt	CT_MÁY	caliper (Mỹ), calliper (Anh)	đo bằng compa, đo bằng thước cáp
Abgreifpunkt	m	KT_ĐIỆN	tapping point	
Abkantpresse	f	CNSX	brake, press brake	máy ép, máy uốn mép, máy dâp tôn
Abkant Winkel	m	CNSX. CT_MÁY	angle of bend	góc uốn (máy uốn mép tôn)
abkapseln	vt	S_PHỦ	encapsule	làm kết nang, làm kết bao
Abkipp-	prefx	D	dumping (thuộc)	dỡ tải
Abkipp-	prefx	VTHK	dive (thuộc)	thế bay bô nhào
Abkippen	nt	VTHK	dive, dumping	thế bay
abkippen	vt	XD	shoot, tip	phun, đổ (bêtông)
Abkippförderkorb	m	XD	dump skip	thùng skip lát, xe skip lật
Abkipptrudel verhalten	nt	VTHK	stall spin characteristics (các)	đặc trưng đứt dồng khi lượn, (các) đặc trưng thất tốc khi lươn
abklâren	vt	HOÁ	clarify	làm trong
abklâren	vt	CN_HOÁ	clarify, elutriate	làm trong, lắng trong
Abklärgefäß	nt	CN_HOÁ	decantation vessel, decanter, decanting glass	thùng lắng gạn, dụng cụ lắng gạn, bình lắng gạn
Abklärgefäß	nt	ỎNMT	decanter	thiết bị lắng gạn
Abklärung	f	HOÁ	clarification	sự làm trong, sự lắng gan
abklemmen	vt	KT_ĐIỆN	Đ_KHlỂN	
Abkling-	pref	KTH_NHÂN	decay (thuộc)	phân rã
Abklingbecken	nt	KTH_NHÂN	neutraliza- tion pond	bê làm trung hoà, bê đề phân rã
Abklingen	nt	KT_ĐIỆN	decay	sự tắt dần, sự phân rã
Abklingen	nt	TV	damping, decay	sư cản dịu, sư làm nhut, sự làm tắt dần
Abklingen	nt	KTH_NHÂN	decay, neutralization	sự làm phản rã, sự làm trung hoà
Abklingen	nt	KTH_NHÂN	cooling	sự làm nguội (lò phản ứng)
Abklingen	nt	VLB_XẠ	decay	sự phân rã
abkỉingen	vi	VLB_XẠ	decay (phản)	rã
abklingende Welle	fv_	LÝ	decaying wave	sóng tắt dần, sóng phán rã
Abklingfaktor	m	KT_ĐIỆN	decay factor	hệ sô phân rã
Abklingkonstante	fV_LỸ	VLB_XẠ, VLHC_BẢN	decay constant	hằng sô phận rã
Abklingrate	f	ÂM	decay rate	tốc độ tắt dần, tốc độ phân rã
Abklingteich	m	KTH_NHÂN	discharge pond	bê đê phân rã (đối với nhiên liệu lò phản ứng đã dùng)
Abklingzeit	ự	Đ_TỬ, KT_ĐIỆN	decay time	thời gian tắt dần
Abklingzeit	ự	KTH_NHÂN	cooling-down period	khoảng thời gian phân rã, khoảng thời gian nguôi hắn (của vật liệu phóng xạ)
Abklingzeit	ự	Q_HỌC	settling time	thời gian lắng
Abklingzeit	ự	V_LÝ	decay time	thời gian tắt dần (của xung)
Abklingzeitkonstante	f	T_BỊ	damping time constant	hằng sô thời gian tắt dần
Abklopfen	nt	XD	picking	sự cuốc đất; sự chọn đá
abklopfen	vt	CNSX	rap	gõ nhẹ
Abklopfer	m	GNSX	rapper	dụng cụ gõ mẫu
Abknalỉen	nt	KT_LẠNH	backíĩring	sự chắn hắt nhiệt (ở lò sưởi)
abknallen	vt	GNSX	pop	nổ lách tách (ngọn lửa)
Abknickung	/ 	VẺ_KT	ofTset, zigzag	đường chữ chi, đường ngoằn ngoèo
Abkochmittel	nt	HOÁ	scouring agent	chất tẩy rửa, chất làm sạch (tơ sống)
Abkochung	/ 	CNT_PHAM	decoction	sự nấu chín, sư sắc
abkohlen	vi	THAN	break coal	đập vun than
abkoppeln	vt	Đ_KH1EN	disconnect	ngắt, cắt
Abkopplung	f	KTH_NHÂN		für
Abkopplung	f	KTH_NHÂN	disconnect rod	thanh ngắt, thanh dừng (lò phản ứng)
Abkreiden	nt	C_DẺO	chalking	sự thêm vôi
Abkühlen	nt	G_DẺO	chilling	sự làm nguội;
Abnutzungsausgleich	m	CNSX	wear com- pensation	sự bù mòn
Abplatzen	nt	S_PHỦ, XI)	spalling	sự đập vở, sự làm nứt vở
Abplatzen	nt	SỨ_TT	chipping	sự đẽo, sự bào, sự tróc thành lớp
Abplatzen	nt	SỨ_TT	abplatzen	‘vi
Abplatzen	nt	XI)	spall	bi đảp vở, nứt vỡ
Abplatzen	nt	SỨ_TT	chip	bị đẽo, tróc thành lớp, bong thành lớp
Abprall	m	CNSX	ricochet	sự nẩy thia lia
Abprall	m	CNSX	abprallen	vi
Abprall	m	CNSX	ricochet	nẩy thìa lia
abpumpen	vt	CT_MÁY, VT_THƯÝ	pump off, pump out	bơm ra, hút ra
abpumpen	vt	CT_MÁY, VT_THƯÝ	abputzen	vt
abpumpen	vt	CNSX	scour	cọ sạch, tẩy sạch, đánhsach
Abquetsch-	pref	C_J)ẺO	flash	chớp nhoáng, nhanh
Abquetsch-	pref	KT_I)ỆT	quetsch (thuộc)	nhồi vải
abquetschen	vt	FOTO	squeegee	ép bằng chổi lăn cao su
Abquetschwerkzeug	nt	C_DẺO	flash mold (Mỹ), flash mould (Anh)	khuôn ép nhanh
Abrasionswiderstand	m	S_PHỦ	abrasion resistance	độ bên mài mòn, sức chông mòn
abrasiver Verschleiß	m	CT_MÁY	abrasive wear	sư mài mòn, sư bào mòn
Abraumbohrer	m	THAN	overburden drill	mũi khoan bị quá tải
Abraumdruck	m	THAN	overburden pressure	sức ép quá mức
Abräumen	nt	THAN	Stripping	sự bóc đất đá, sự khai thác lộ thiên
abräumen	vt	XI)	clear	mở vỉa, bóc dỡ lớp đất đá phủ
abreiben	vt	XD	rub	cọ nhẵn (lớp trát)
abreiben	vt	CNSX	Waste	bỏ, thải, bỏ hoang
abreiben	vt	CNSX	grind	mài (dụng cụ)
abreiben	vt	CT_MÁY	Cơ, GIẤY abrade, abrase	mài, mài mòn
abreibend	adj	GIÂY	abradant	vật liệu mài
abreichern	vt	KTH_NHẢN	deplete	làm nghèo, làm thiếu
Abreißen	nt	CNSX	Interruption	sự ngắt
abreißen	vt	XI)	break down	tháo dỡ
abreißen	vt	XI)	demol- ish	phá huy, san bang (nhà cửa)
abreißen	vt	CNSX	Interrupt	ngắt (cung lửa điện)
abreißen	vt	CT_MÁY	tear down	làm đứt
Abreißstartstrom	m	ĐIỆN	breakaway starting current	dòng điên khởi đông ngắt
Abreißverschluß	m	B_BÌ	snap-off closure, tear-off closure	bao bì mở nhanh, bao bì mở xé
Abrichtdiamant	m	CNSX	diamond dresser	
Abrufen von Text	nt	M_TÍNH	text retrieval	sự tìm kiếm văn bản
Abrufsignal	nt	M_TÍNH	fetch Signal	tín hiệu tìm nap
Abrufunterbrechung	f	M_TÍNH	attention Interrupt	sự ngắt gáy chú ý
Abrufzyklus	m	M_TÍNH	fetch cycle	chu trình tìm nap
Ab runden	nt	CNSX	radii-forming	sự lượn tròn theo bán kính)
Ab runden	nt	TOÁN	rounding	sự làm tròn
abrunden	vt	M_TÍNH	round down, round off	làm tròn
abrunden	vt	TOÁN	round	làm tròn
Abrundung	f	TOÁN	truncation	sự cắt cụt
abrüsten	vt	XD	dismantle	tháo dỡ, tháo ván khuôn
Abrutschen	nt	SỨ_TT	slough	bãi than bùn
ABS	v_tắt	ỔTÔ (Antiblockiersystem) ABS		<antiblocking System) hệ chông kẹt
ABS	v_tắt	C_DẺO (Acrylnitril-Butadien-Styrol)		Copolymer
ABS	v_tắt	ABS		(acrylonitrile butadiene styrene) copolyme ABS, styren acrylonitrỉn
ABS	v_tắt	ABS	-	butađien
Absacken	nt	XD	subsidence	sư lún
Absacklinie	f	B_BÌ	sack-filling line	dây chuyền đóng đầy bao bì
Absatz	m	XD	bench, berm	bờ bảo hộ, bờ giữ nước
Absatz	m	M_TÍNH	Paragraph	đoạn (văn bản)
Absatz	m	IN	break	chỗ ngắt
Absatz	m	IN	cổ offset	phần lồi, gò
Absatzdrehen	nt	CNSX	shoulder turning	sự tiện vai gờ
absatzfähig	adj	KT_DỆT	marketable	dễ tiêu thu
Absatzmaß	nt	VẼ_KT	stepped dimension	kích thước theo cấp
Absatzwechsel	m	IN	new Paragraph	đoạn (văn bản) mới
absaufen	vi	ỒTÔ	ílood	ngập, tràn
Absaug-	pref	CN_HOÁ	íĩltering (thuộc)	lọc
Absaug-	pref	KT_IẠNH	extract (thuộc)	xả
Absaug-	pref	KTA_TOÀN	suc- tion (thuộc)	hút, thải
Absaugbehälter	m	ONT_PHẨM	exhaustion box	hộp hút khí
absaugen	vt	KT_LẠNH	extract	hút ra, thải ra
Absaugeschweißtisch	m	KTA_TOÀN	weld- ing table	bàn hàn
Absaugflasche	f	CN_HOÁ	íĩltering flask	bình lọc hút
Absauggebläse	nt	KT_1ẠNH	extract fan	quạt thải khí
Absaugung	f	CNSX	extraction	sư ép ra (thiết bị gia công chất dẻo)
Absaugung	f	KTA_TOÀN	weld- ing	sự hàn
Absaugung	f	KT_DỆT	suction	sự hút
Absaugventil	nt	PTN	exhaust valve	van tháo, van xả
Abschäler	m	XD	scariíĩer	máy rạch rãnh, cuốc xẻ rãnh
Abschalt-	pref	CT_MÁY	shut-off (thuộc)	ngắt, dừng
Abschalt-	pref	DHV_TRỤ	shutdown (thuộc)	dừng máy, tắt máy
Abschaltanweisung	f	DHV_TRỤ	shutdown procedure	quy trình dừng máy (tàu vũ trụ)
Abschaltdruck	m	CT_MÁY	shut-off pressure	áp lưc dừng máy
Abschalten	nt	I)HV_TRỤ	shutdown proce- dure	quy trinh dừng máy (tàu vũ trụ)
abschalten	vt	M_TÍNH	disconnect	ngắt, cắt
abschalten	vt	KT_ĐIỆN	de-energize, disable, disconnect, iso- late, power down, switch off	ngắt, tắt, tách, cách ly
abschalten	vt	KT_ĐIỆN	turn off	tắt (ngừng cung cấp điện)
Abscherfestigkeit	f	CT_MÁY	shearing ■enadty	độ bền đứt
Abscherfestigkeit	f	CT_MÁY	cơ shear strength	độ bền cắt, sức bên cắt
Abscherstift	m	CT_MÁY	shear pin	chốt cắt đứt an toàn), chốt trươt
Abscherstift	m	CT_MÁY	Abscherung	f
Abscherstift	m	CT_MÁY	shearing	sự cắt, sự cất báng kéo
Abscherversuch	m	CT_MÁY	shear test	sự thừ cắt
Abscherversuch	m	CT_MÁY	shear test	sư thử cắt (đinh tán)
abscheuern	Vt	VT_THUỶ	hog	uốn cong
abscheuern	Vt	VT_THUỶ	abschießen	vt
abscheuern	Vt	DHV_TRỤ	launch	phóng
abscheuern	Vt	DHV_TRỤ	Abschilferung/' Cơ scale	thang đo
abscheuern	Vt	DHV_TRỤ	Abschirm-	prefĐ
abscheuern	Vt	IỆN	shielding (thuộc)	che, chấn.
abscheuern	Vt	VTHK	deflector (thuộc)	làm lệch, hưởng dòng
Abschirmblech	nt	VTHK	deílector	tấm hướng dòng
Ab Schirmeffekt	m	ĐIỆN	shielding effect	hiệu ứng chắn
Abschirmen	nt	TV	screening	sự che chắn
abschirmen	vt	XD	shield	ngăn che, bảo vệ
abschirmen	vt	N.HƠÁ	baffle	đôi hướng, đổi dòng
Ab Schirmfaktor	m	KTH_NHÂN	screen fac- tor	hê số che, hệ sô' chắn
Ab Schirmfaktor	m	KTH_NHÂN	Abschirmkabel	nt
Ab Schirmfaktor	m	KT_ĐIỆN	shielded cable	cáp bọc
Abschirmkonstante	f	KTH_NHÂN	Screen ing constant	hằng sô che, hăng sô chắn
Abschirmkonstante	f	KTH_NHÂN	Abschirmleiter	m
Abschirmkonstante	f	ĐIỆN	shielding conductor	dây dẫn bọc, dây dẫn có vỏ
Abschirmplatte	f	KTH_NHÂN	screen plate	tấm chắn
Abschirmrelais	nt	KT_Đ!ỆN	guarding relay	rơle bảo vệ
Abschirmung	f	KT_GHI, M_TÍNH		(để bảo lệ
Abschirmung	f	KT_GHI, M_TÍNH	 ĐIỆN, KT_Đ1ỆN	(của một mạng)
Abschirmung	f	TV, KTH.NHAN, V_LY, VT&RĐ, DHV_TRỤ	Screening, shielding	sự chắn, sự che, sự cách ly
Abschirmung	f	KTA_TOÀN	shielding	sự chắn, sự che, sư cách ly
Abschirmung	f	VLB_XẠ	Screening, shielding	sư chắn, sự che, sự cách ly
Abschirmung	f	VLB_XẠ	Abschirmungseffekt	m
Abschirmung	f	V_THÔNG	screen effect	Ịiiệu ứng chắn
Abschirmungszahl	f	KTH_NHÂN	Screening number	hằng sô che, chí sô chắn
Abschlacken	nt	CNSX	deslagging	sự khử xi, sự thải xỉ
abschlacken	vt	CNSX	flush	phun rửa, xối
Abschlagen	nt	XD	spalling	sự nứt vỡ
Abschlämmen	nt	HOÁ	clariíĩcation	sự làm trong
Abschlämmen	nt	CN_HOÁ	elutriation	sự rửa lắng
Abschlämmen	nt	KTC_NƯỚC	blowdown	sự tháo nước ra
abschlämmen	vt	HOÁ	clarify	làm trong
abschlämmen	vt	CN_HOÁ	elutriate	rửa lắng
abschlämmen	vt	KTC_NƯỚC	blow down	tháo nước ra
Abschlămmer	m	D_KHÍ	desilter	thiết bị khử bùn (kỹ thuật khoan)
Abschleifen	nt	CNSX	abrading	sự mài mòn
Abschleifen	nt	CT_MÁY	grinding-off	sự mài
abschleifen	vt	XD	sand	mài bằng cát, đánh bóng (giấy ráp)
abschleifen	vt	SỨ_TT	cut off	mài
Abschlepp-	pref	V_TẢI	towing (thuộc)	dắt, kéo
Abschleppen	nt	V_TẢI	debogging	sự dắt, sự kéo (xe cộ khỏi vùng lầy)
abschleppen	vt	V_TẢI	tow	lai, dắt
Abschlepphaken	m	ÔTÔ	tow hook	móc kéo, móc lai (cho rơmooc)
Abschleppöse	f	ÔTÔ	towing bracket	giá chìa dắt
Abschleppstange	fö	TÔ	bullbar	thanh kéo dắt
Abschleppwagen	m	ÔTÔ	salvage car (Mỹ), salvage lorry (Anh), towing vehicle, wrecker (Mỹ)	xe dắt, toa dắt
abschleudern	vt	CN_HOÁ	centrifuge	làm ly tâm '■
Abschließen	nt	KT_ĐIỆN	terminating	sự kết thúc; đầu cuối
abschließen	vt	V_THÔNG	terminate	kết thúc (cáp)
Abschluß	m	M_TÍNH	closedown	sự ngừng (các trạng thái hoạt động chủ động)
.Abschöpfeinrichtung	f	ỔN_BIỂN	skimmer	thìa hớt vảng, thìa hớt bọt
abschöpfen	vt	CNSX, ÔNMT	skim off	hớt láng, hớt bot
.Abschöpfkopf	m	ÖNJBIEN	skimming head	gàu hớt váng, gàu hớt bọt
