Fensterwischer/Fensterabzieher 	squeegee (for windows) ¾ 
Wasserschieber/ Wasserabzieher (Bodenwischer) 	squeegee (for floors) 5 
Abzug/Dunstabzugshaube 	hood, fume hood, fume cupboard (Br) ¾ 
begehbarer A. 	walk-in hood ¾ 
Fallstrombank 	vertical flow workstation/hood/unit ¾ 
Handschuhkasten/ Handschuhschutzkammer 	glove box ¾ 
Labor-Werkbank 	laboratory~/lab bench ¾ 
Querstrombank 	laminar flow workstation, laminar flow hood, laminar flow unit ¾ 
Rauchabzug/Abzug 	fume hood ¾ 
Reinraumwerkbank 	clean-room bench ¾ 
Saugluftabzug 	forced-draft hood ¾ 
Sicherheitswerkbank 	clean bench ¾ 
sterile Werkbank 	sterile bench 
Abzugschornstein 	exhaust stack 
Abzugsöffnung/ Luftschlitz 	vent 
Abzweig chromat 	split 
Abzweigventil chromat 	split valve 
Acetaldehyd/ Ethanal 	acetaldehyde, acetic aldehyde, ethanal 
Acetat/Azetat (Essigsäure/Ethansäure) 	acetate (acetic acid/ethanoic acid) 
Acetessigsäure (Acetacetat)/ 3-Oxobuttersäure 	"acetoacetic acid (acetoacetate), acetylacetic acid, diacetic acid 
Ad "
Aceton (Azeton)/ Propan-2-on/ 2-Propanon/ Dimethylketon 	acetone, dimethyl ketone, 2-propanone 
Acetylcellulose/Celluloseacetat 	cellulose acetate 
Achatmörser 	agate mortar 
Achsenlager/Achslager/ Zapfenlager (z.B. beim Kugellager) 	journal 
Achsenverhältnis 	aspect ratio 
Achtkantstopfen 	octa-head stopper, octagonal stopper 
Acidität/Azidität/Säuregrad 	acidity 
Acridinfarbstoff 	acridine dye 
Acrylglas 	acrylic glass 
Actinide (Actinoide) 	actinides (actinoids) 
Actinium (Ac) 	actinium 
acyclisch 	acyclic 
Acylierung 	acylation, acidylation 
Adapter 	adapter, fitting(s) ¾ 
Balg 	bellows ¾ 
Destilliervorstoß 	receiver adapter ¾ 
Eutervorlage/ Verteilervorlage/'Spinne' dest 	cow receiver adapter, 'pig', multi-limb vacuum receiver adapter (receiving adapter for three/four receiving flasks) ¾ 
Expansionsstück (Laborglas) 	expansion adapter ¾ 
Filtervorstoß 	adapter for filter funnel ¾ 
Kern-/Gewindeadapter 	cone/screwthread adapter 
Ad                                                                                    	6 ¾ 
Kriechschutzadapter dest 	anticlimb adapter ¾ 
Krümmer (Laborglas) 	bend, bent adapter ¾ 
Nadeladapter 	syringe connector ¾ 
Reduzierstück (Laborglas/Schlauch) 	reducer, reducing adapter, reduction adapter ¾ 
Rückschlagschutz 	(Kühler/Rotationsverdampfer etc.) splash adapter, antisplash adapter, splash-head adapter ¾ 
Schaumbrecher-Aufsatz/ Spritzschutz-Aufsatz (Rückschlagsicherung) dest 	antisplash adapter, splash-head adapter ¾ 
Schlauchadapter 	tubing adapter ¾ 
Schlauch-Rohr-Verbindungsstück 	pipe-to-tubing adapter ¾ 
Septum-Adapter 	septum-inlet adapter ¾ 
Tropfenfänger 	drip catcher, drip catch; splash trap, antisplash adapter (distillation apparatus); (Reitmeyer-Aufsatz: ¾ 
Übergangsstück 	adapter, connector ¾ 
Übergangsstück mit seitlichem Versatz 	offset adapter ¾ 
Vakuumfiltrationsvorstoß 	vacuum-filtration adapter ¾ 
Vakuumvorstoß 	vacuum adapter ¾ 
Vorlage dest 	distillation receiver adapter, receiving flask adapter ¾ 
Zweihalsaufsatz 	two-neck (multiple) adapter 
Additionsverbindung 	"addition compound (of two compounds), additive compound (saturation of multiple bonds) 
Addukt adduct "
Adhäsion 	adhesion 
Adhäsionsbruch 	adhesive failure 
Adsorptionsisotherme 	adsorption isotherm 
Adsorptionsmittel/Adsorbens 	adsorbent 
Adsorptiv/Adsorbat/Adsorpt 	adsorptive, adsorbate 
Adstringens 	adstringent 
aerob 	aerobic 
Aerosol 	aerosol 
Affinität 	affinity 
Affinitätschromatographie 	affinity chromatography 
Agarose 	agarose 
Agarplatte 	agar plate 
Agens/Agenz (pl Agentien) 	agent ¾ 
interkalierendes Agens 	intercalating agent ¾ 
quervernetzendes Agens 	crosslinker, crosslinking agent 
Aggregatzustand 	state of aggregation, physical state ¾ 
fester Zustand 	solid state ¾ 
flüssiger Zustand 	liquid state ¾ 
gasförmiger Zustand 	gaseous state 
Akkusäure/Akkumulatorsäure 	accumulator acid, storage battery acid (electrolyte) 
Aktivkohle 	activated carbon 
Alarm 	alarm; alert ¾ 
falscher Alarm 	false alarm ¾ 
Feueralarm 	fire alarm ¾ 
Probealarm/Probe-Notalarm 	drill, emergency drill 
Alarmanlage 	alarm system 
Alarmbereitschaft 	alert 
alarmieren (Feuerwehr etc.) 	call, alert 
Am                                                                                   	8 
Aminoacylierung 	aminoacylation 
Aminoharze 	amino resins, aminoplasts 
Aminosäure 	amino acid 
Aminozucker 	amino sugar 
Ammoniak 	ammonia 
amorph 	amorphous 
Ampulle (Glasfläschchen) 	ampule, ampoule ¾ 
vorgeritzte Spießampulle 	prescored ampule/ampoule 
analog/funktionsgleich 	analogous 
Analog-Digital-Wandler 	analog-to-digital converter (ADC) 
Analogie 	analogy 
analogisieren 	analogize 
Analogon (pl Analoga) 	analog, analogue 
Analysator 	analyzer 
Analyse 	analysis (pl analyses) 
analysenrein/zur Analyse lab 	reagent grade 
Analysenwaage 	analytical balance 
analysieren 	analyze 
Analyt/zu analysierender Stoff 	analyte 
analytisch 	analytic(al) 
Anbacken 	caking (sticking) 
anchimere Beschleunigung 	anchimeric assistance 
Andreaskreuz (Gefahrenzeichen) 	St. Andrew's cross 
Anfangsgeschwindigkeit (v0: Enzymkinetik) 	initial velocity (vector), initial rate 
anfärbbar 	dyeable, stainable 
Anfärbbarkeit 	dyeability, stainability 
anfärben 	dye, stain 
Anfärbung 	dyeing, staining 
Anfasmaschine/ Abschrägmaschine 	"chamfering machine 
Anfasung/Abkanten/ "
Abschrägung/Abschärfung/ Schrägkante/Fase 	chamfering, chamfer, leveling, level 
anfeuchten 	humidify, prewet 
angetrocknet polym 	skin-dry 
Anguss/ Angusskegel 	gate, gating; sprue ¾ 
Bandanguss 	film gate, flash gate ¾ 
Punktanguss 	pinpoint gate ¾ 
Schirmanguss 	diaphragm gate ¾ 
Stangenanguss 	sprue gate 
Angussbohrung 	gate, gating 
Angussbuchse 	sprue bush 
Angussöffnung 	gate (opening) 
Angusssteg/ Werkzeuganguss 	gate 
Angussverteiler/Angusskanal/ Angusstunnel/Verteilerrohr (Spritzgießen) 	runner (feed system for injection molding) 
Anhäufung/ Kumulation 	accumulation 
Anheizzeit/ Steigzeit (Autoklav) 	preheating time 
Anionenaustauscher 	anion exchanger 
Anisaldehyd 	anisic aldehyde, anisaldehyde 
Ankergruppe 	anchoring group 9 
anketten (Gasflaschen etc.) 	chain (to) ¾ 
mehrere Gegenstände aneinander ketten 	daisy-chain 
Anlage/Einrichtung/ Betriebseinrichtung 	installation(s) 
Anlaufperiode/ Startperiode 	induction period, start-up period 
Anlaufzeit/ Reaktionszeit 	start-up time, response time 
Anleitung 	(Einarbeitung) instructions, training, guidance, directions, lead; (Einführung) introduction (to); (Gebrauchsanweisung) manual, instructions 
Anoxidieren 	partial oxidizing 
anpolymerisieren/ pfropfen 	graft 
anregen 	stimulate, excite 
Anregung 	stimulation, excitation 
anreichern 	enrich; concentrate, accumulate, fortify 
Anreicherung 	enrichment, concentration, accumulation, fortification 
Anreicherung durch Filter 	filter enrichment 
Anreicherungseffekt/ Gesamtwirkung 	cumulative effect 
Ansatz (Versuchsansatz/ Versuchsaufbau) 	"arrangement, set-up; (Charge) batch; (Methode) approach, method; (Präparat) starting material, preparation; (Versuch) attempt 
An "
Ansatzstück (Glas) 	attachment, extension (piece) 
Ansatzstutzen 	(Kolben) side tubulation, side arm; (Schlauch) hose connection 
ansäuern 	acidify 
ansaugen 	suck in, draw in, take in; (mit einer Spritze) aspirate 
Ansaugpuls (Pumpe) 	suction stroke 
Ansaugrohr 	intake pipe; induction pipe, suction pipe 
Ansaugventil 	induction valve, aspirator valve 
anschalten 	turn on, switch on; (Computer: hochfahren) power up ¾ 
abschalten 	turn off, shut off, switch off; (Computer: herunterfahren) power down 
Anschlag (Endpunkt/Sperre/Stop) 	stop, limit, detent 
Anschlagzettel (Gefahrgutkennzeichnung etc.) 	placard 
anschließen allg 	fasten (to), connect (to/with), link (up to); 
electr 	connect, hook up, wire to, (make) contact 
Anschluss 	connection; (pl Anschlüsse: Armaturen/Hähne) fixture(s), outlet(s); (Gas~/Strom~/Wasser~) connection, line (Leitung) ¾ 
elektrischer Anschluss 	electrical fixtures, electricity outlet ¾ 
Versorgungsanschlüsse (Wasser/Strom/Gas) 	service fixtures, service outlets 
An                                                                                   	10 
Anschlussleitung electr 	lead, pigtail lead 
Anschnitt/Anbindung polym 	gate (between sprue and mold) 
Anschütz-Aufsatz 	Anschütz head 
Anschwänzapparat/ Anschwänzvorrichtung (Fermentation) 	sparger 
ansetzen (z.B. eine Lösung) 	start, prepare, mix, make, set up 
Ansprechzeit (z.B. Messgerät etc.) 	response time 
Antagonismus 	antagonism 
Anteil/Hälfte/Teil 	moiety 
Antibeschlagmittel/ Beschlagverhinderungsmittel/ Klarsichtmittel 	antifogging agent 
Antiblockmittel 	antiblocking agent (PVC); slip depressant; slip agent (polyolefins); flattening agent (sheetings) 
Antihaftbeschichtung 	antistick coating 
Antiozonantien/ Ozonschutzmittel 	antiozidants, antiozonants 
Antistatikum 	antistatic, antistatic agent, antistat 
Antrieb/Trieb 	drive; (Voranbringen/ Fortbewegung) propulsion 
Antriebskraft/Triebkraft 	propulsive force 
Antriebsriemen 	drive belt 
Antriebssystem 	drive system, drive unit 
Antriebswelle 	drive shaft 
Anvulkanisation/Scorch 	"scorch, scorching, prevulcanization 
Anweisung assignment, direction(s), directive, instructions; prescription, order "
anwenderfreundlich 	user-friendly 
Anzeige (an einem Gerät) 	display; dial, scale, reading 
anzeigen 	display, show, read 
anzeigepflichtig 	obligation to notify, notifiable, reportable 
Anzeiger/Anzeigegerät 	indicator, recording instrument; monitor 
anzünden 	ignite, strike, start a fire 
Anzünder (Gas) 	striker 
Apertur (Blende)/Öffnung/Mündung 	aperture, opening, orifice 
Aperturblende/ Kondensorblende (Irisblende) 	condenser diaphragm (iris diaphragm) 
Äpfelsäure (Malat) 	malic acid (malate) 
Apiezonfett 	apiezon grease 
Appretur(mittel) 	finish 
Äquilibrierung 	equilibration 
Äquivalentdosis (Sv) 	dose equivalent 
Äquivalenzpunkt (Titration) 	end point, point of neutrality 
Aramide 	aramids (aromatic polyamids) 
Aräometer (Densimeter/Senkwaage) 	areometer 
Arbeitsablauf 	sequence of operation 
Arbeitsanweisung/ Arbeitsvorschrift 	prescribed work procedure, prescribed operating procedure ¾ 
Standard-Arbeitsanweisung 	standard operating procedure (SOP) 11 
Arbeitsbedingungen 	operating conditions (Geräte), working conditions (Personen) 
Arbeitsbereich 	operating range (Geräte), work area, working range (Personen) 
Arbeitsdruck 	working pressure (delivery pressure) 
Arbeitsfläche 	work surface, working surface, working area ¾ 
Tischoberfläche (Labortisch) 	countertop, benchtop 
Arbeitshygiene 	industrial hygiene 
Arbeitskittel 	smock, gown ¾ 
Laborkittel 	frock, lab coat 
Arbeitsmedizin 	occupational medicine 
Arbeitsmethode 	work procedure 
Arbeitsöffnung 	working aperture ¾ 
Schutzfaktor für die Arbeitsöffnung (Werkbank) 	aperture protection factor (open bench) 
Arbeitspensum 	workload 
Arbeitsplatte/Arbeitsfläche (Labor-/Werkbank) 	countertop, benchtop 
Arbeitsplatz 	(Ort) workplace; (Stelle) job ¾ 
Arbeitsbereich (räumlich) 	workspace 
Arbeitsplatzhygiene 	occupational hygiene 
Arbeitsplatzkonzentration, zulässige/maximale 	permissible workplace exposure 
Arbeitsplatzsicherheit 	occupational safety, workplace safety 
Arbeitsplatzsicherheitsvorschriften 	"occupational safety code 
Ar "
Arbeitsraum 	(im Inneren der Werkbank) working space 
Arbeitsrichtlinie 	working guideline 
Arbeitsschritt 	step in a working procedure 
Arbeitsschutz 	occupational protection, workplace protection, safety provisions (for workers) 
Arbeitsschutzanzug 	coverall, boilersuit, protective suit 
Arbeitsschutzkleidung 	workers' protective clothing 
Arbeitsschutzverordnung 	workplace safety regulations 
Arbeitsstoff 	(workplace) agent 
Arbeitstagebuch 	logbook 
Arbeitstemperatur 	operating temperature 
Arbeitstisch 	worktable 
Arbeitsunfall 	occupational accident 
Arbeitsvorgang 	work procedure 
Arbeitsvorschrift/Arbeitsanweisung 	prescribed work procedure, prescribed operating procedure ¾ 
A. für die Überwachung 	monitoring protocol ¾ 
Standard-Arbeitsanweisung 	standard operating procedure (SOP) 
Arbeitszeit 	working hours 
Arbeitszyklus (Gerät) 	duty cycle 
Arborol 	arborol 
arithmetisches Mittel stat 	arithmetic mean 
Armatur(en) (Hähne im Labor/an der Spüle etc.) 	fittings, fixtures, mountings; instruments; connections 
Ar                                                                                    	12 
Armaturenbrett/Schalttafel 	switchboard, electrical control panel; (im Fahrzeug) dashboard, dash 
Aroma 	(Wohlgeruch) aroma, fragrance, (pleasant) odor; (Wohlgeschmack) flavor, taste (pleasant) 
Aromastoff 	flavoring, aromatic substance 
aromatisch 	aromatic 
Aromatizität 	aromaticity 
Arretierbolzen 	locking bolt, locking pin 
arretieren/feststellen 	arrest, stop, lock in place/position; block; detent, fix 
Arretierhebel 	stop lever, arresting lever, locking lever, blocking lever; catch, safety catch 
Arretierschraube 	locking screw 
Arretierung tech/mech 	lock, locking device; (Klinke/Schnappverschluss) catch; (z.B. am Mikroskop) stop 
Arretiervorrichtung 	locking mechanism 
Arsen (As) 	arsenic 
Arsenwasserstoff/ Arsan/Monoarsan 	arsine 
Artefakt 	artifact, artefact 
Arznei/Arzneimittel/Medizin 	medicine, medication, drug 
Arzneimittel 	drug, medicine, medication 
Asbest 	asbestos ¾ 
Blauasbest/Krokydolith 	blue asbestos, crocidolite ¾ 
Weißasbest/Chrysotil 	white asbestos, chrysotile, Canadian asbestos 
asbestfaserverstärkter Kunststoff (AFK) 	"asbestos fiber-reinforced plastic (AFRP) 
Asbestplatte asbestos board "
Asbeststaublunge/ Bergflachslunge/Asbestose 	asbestosis 
Asbestzementplatte (Labortisch) 	transite board 
Asche 	ash 
aschefrei (quantitativer Filter) 	ashless (quantitative filter) 
Ascorbinsäure (Ascorbat) 	ascorbic acid (ascorbate) 
Asparagin 	asparagine, aspartamic acid 
Asparaginsäure (Aspartat) 	asparagic acid, aspartic acid (aspartate) 
Assemblierung/Zusammenbau 	assembly ¾ 
spontaner Zusammenbau/ Selbstassoziierung/ Selbstzusammenbau 	self-assembly 
Assimilation 	assimilation, anabolism 
assimilatorisch 	assimilatory 
assimilieren 	assimilate 
Atem 	breath 
atembar 	inhalable 
Atemgifte/Fumigantien 	respiratory toxin, fumigants 
Atemmaske/ Atemschutzmaske 	protection mask, face mask, respirator mask, respirator 
Atemschutz 	breathing protection, respiratory protection 
Atemschutzgerät/Atemgerät 	breathing apparatus, respirator 
Atemschutzmaske 	protection mask, face mask, respirator mask, respirator ¾ 
Feinstaubmaske 	mist (respirator) mask ¾ 
Filterkartusche 	filter cartridge 
